AAPL,1.26,1.53,1.99,2.13,1.05,1.39,1.15,0.75,0.49,1.5,3.75,1.06,1.58,1.03,1.54,4.63,10.34,12.33,28.47,12.27,30.49,46.52,58.49,79.12,79.38,111.39,102.61,115.8,115.8
BP,16.44,19.38,16.5,11.28,16.0,19.94,25.44,35.19,39.66,45.88,59.25,49.06,46.3,40.85,49.53,58.05,65.5,67.27,73.78,47.0,59.3,44.9,43.79,42.45,48.43,38.21,30.8,38.1,38.1
CVX,16.84,18.16,17.28,17.44,21.84,22.44,26.31,32.63,38.25,41.53,42.94,42.59,44.81,33.6,43.24,52.46,57.25,72.77,93.96,74.23,78.2,91.66,108.74,110.27,124.46,111.63,89.53,118.38,118.38
FOX,3.28,1.18,3.37,6.0,7.75,6.85,9.44,9.22,9.88,11.76,17.01,14.47,13.98,11.66,16.23,16.9,14.67,19.89,18.6,8.45,14.28,14.66,16.36,23.7,34.58,36.98,26.59,27.74,27.74
KO,4.83,5.8,10.03,10.47,11.16,12.88,18.56,26.25,33.34,33.5,29.0,30.47,23.4,22.08,25.4,20.95,20.4,24.18,30.73,22.7,28.58,32.94,35.08,36.99,41.12,42.26,42.34,41.5,41.5
MCD,8.59,7.28,9.63,12.22,14.19,14.63,22.5,22.63,23.94,38.69,39.94,33.81,26.47,16.17,24.95,31.6,34.29,43.65,59.48,62.38,62.63,77.1,101.33,89.4,96.81,94.13,117.25,121.86,121.86
PG,8.75,10.75,11.63,13.47,14.22,15.47,20.53,26.78,39.66,45.0,53.91,39.06,39.45,43.05,49.83,55.65,58.3,63.72,73.59,61.69,61.11,64.39,66.3,68.65,81.33,90.84,78.36,83.88,83.88
TGT,5.29,4.76,5.16,6.31,5.58,5.89,6.26,9.69,16.98,27.13,36.13,32.63,41.05,30.4,38.45,52.67,55.52,57.85,50.05,34.64,48.47,60.26,51.89,58.57,63.53,76.11,71.84,72.66,72.66
WMT,5.59,7.5,14.63,16.03,12.69,10.69,11.13,11.5,19.72,40.81,68.38,53.13,57.65,50.65,53.35,53.75,46.36,47.09,47.41,55.98,53.74,54.23,59.97,68.93,78.72,86.27,60.5,69.24,69.24
XOM,12.47,12.94,15.06,15.31,15.81,15.13,20.06,24.56,30.53,36.38,39.75,43.34,39.3,35.0,41.02,51.02,56.42,76.26,94.15,80.06,68.72,73.72,85.97,87.79,100.6,92.25,77.5,90.94,90.94
